Day;Time;Active Vehicles
Tue;12:30;60
Tue;12:45;54
Tue;13:00;46
Tue;13:15;42
Tue;13:30;42
Tue;13:45;43
Tue;14:00;47
Tue;14:15;50
Tue;14:30;58
Tue;14:45;62
Tue;15:00;60
Tue;15:15;55
Tue;15:30;54
Tue;15:45;57
Tue;16:00;61
Tue;16:15;62
Tue;16:30;54
Tue;16:45;53
Tue;17:00;57
Tue;17:15;58
Tue;17:30;71
Tue;17:45;73
Tue;18:00;79
Tue;18:15;79
Tue;18:30;75
Tue;18:45;71
Tue;19:00;61
Tue;19:15;54
Tue;19:30;49
Tue;19:45;49
Tue;20:00;47
Tue;20:15;44
Tue;20:30;40
Tue;20:45;37
Tue;21:00;37
Tue;21:15;34
Tue;21:30;30
Tue;21:45;27
Tue;22:00;13
Tue;22:15;9
Tue;22:30;3
Tue;22:45;1
Wed;04:45;8
Wed;05:00;9
Wed;05:15;11
Wed;05:30;25
Wed;05:45;31
Wed;06:00;33
Wed;06:15;33
Wed;06:30;33
Wed;06:45;35
Wed;07:00;44
Wed;07:15;46
Wed;07:30;46
Wed;07:45;46
Wed;08:00;47
Wed;08:15;51
Wed;08:30;66
Wed;08:45;70
Wed;09:00;70
Wed;09:15;62
Wed;09:30;61
Wed;09:45;59
Wed;10:00;47
Wed;10:15;50
Wed;10:30;59
Wed;10:45;61
Wed;11:00;61
Wed;11:15;59
Wed;11:30;50
Wed;11:45;49
Wed;12:00;57
Wed;12:15;59
Wed;12:30;58
Wed;12:45;56
Wed;13:00;51
Wed;13:15;49
Wed;13:30;49
Wed;13:45;49
Wed;14:00;51
Wed;14:15;53
Wed;14:30;55
Wed;14:45;62
Wed;15:00;55
Wed;15:15;55
Wed;15:30;56
Wed;15:45;58
Wed;16:00;66
Wed;16:15;67
Wed;16:30;59
Wed;16:45;57
Wed;17:00;59
Wed;17:15;62
Wed;17:30;57
Wed;17:45;71
Wed;18:00;75
Wed;18:15;76
Wed;18:30;75
Wed;18:45;73
Wed;19:00;69
Wed;19:15;53
Wed;19:30;49
Wed;19:45;47
Wed;20:00;46
Wed;20:15;44
Wed;20:30;36
Wed;20:45;34
Wed;21:00;34
Wed;21:15;34
Wed;21:30;32
Wed;21:45;27
Wed;22:00;22
Wed;22:15;6
Wed;22:30;2
Wed;22:45;1
Thu;04:45;7
Thu;05:00;10
Thu;05:15;12
Thu;05:30;21
Thu;05:45;30
Thu;06:00;36
Thu;06:15;36
Thu;06:30;36
Thu;06:45;38
Thu;07:00;40
Thu;07:15;42
Thu;07:30;42
Thu;07:45;44
Thu;08:00;46
Thu;08:15;54
Thu;08:30;66
Thu;08:45;74
Thu;09:00;74
Thu;09:15;67
Thu;09:30;64
Thu;09:45;62
Thu;10:00;54
Thu;10:15;52
Thu;10:30;47
Thu;10:45;52
Thu;11:00;54
Thu;11:15;52
Thu;11:30;50
Thu;11:45;53
Thu;12:00;61
Thu;12:15;64
Thu;12:30;62
Thu;12:45;55
Thu;13:00;46
Thu;13:15;41
Thu;13:30;41
Thu;13:45;41
Thu;14:00;45
Thu;14:15;50
Thu;14:30;53
Thu;14:45;50
Thu;15:00;55
Thu;15:15;61
Thu;15:30;62
Thu;15:45;67
Thu;16:00;67
Thu;16:15;62
Thu;16:30;55
Thu;16:45;53
Thu;17:00;55
Thu;17:15;57
Thu;17:30;65
Thu;17:45;67
Thu;18:00;73
Thu;18:15;73
Thu;18:30;72
Thu;18:45;67
Thu;19:00;63
Thu;19:15;59
Thu;19:30;53
Thu;19:45;42
Thu;20:00;39
Thu;20:15;34
Thu;20:30;34
Thu;20:45;34
Thu;21:00;33
Thu;21:15;30
Thu;21:30;28
Thu;21:45;25
Thu;22:00;14
Thu;22:15;9
Thu;22:30;3
Thu;22:45;3
Fri;04:45;7
Fri;05:00;10
Fri;05:15;26
Fri;05:30;30
Fri;05:45;34
Fri;06:00;47
Fri;06:15;51
Fri;06:30;51
Fri;06:45;53
Fri;07:00;65
Fri;07:15;67
Fri;07:30;67
Fri;07:45;67
Fri;08:00;72
Fri;08:15;86
Fri;08:30;92
Fri;08:45;105
Fri;09:00;107
Fri;09:15;100
Fri;09:30;98
Fri;09:45;83
Fri;10:00;80
Fri;10:15;86
Fri;10:30;82
Fri;10:45;89
Fri;11:00;93
Fri;11:15;93
Fri;11:30;81
Fri;11:45;81
Fri;12:00;91
Fri;12:15;94
Fri;12:30;89
Fri;12:45;79
Fri;13:00;86
Fri;13:15;76
Fri;13:30;74
Fri;13:45;74
Fri;14:00;76
Fri;14:15;84
Fri;14:30;89
Fri;14:45;92
Fri;15:00;86
Fri;15:15;78
Fri;15:30;85
Fri;15:45;86
