driver_id,driver_type,day,duty_id,duty_start,duty_end,tour_ids,work_min,hours,days_worked
D_PT505,PT,4,seed_s_T_4_870_1,870,1140,T_4_870_1,270,4.5,1
D_PT506,PT,4,seed_s_T_4_870_2,870,1140,T_4_870_2,270,4.5,1
D_PT507,PT,4,seed_s_T_4_885_3,885,1155,T_4_885_3,270,4.5,1
D_PT508,PT,4,seed_s_T_4_885_6,885,1155,T_4_885_6,270,4.5,1
D_PT509,PT,4,seed_s_T_4_885_7,885,1155,T_4_885_7,270,4.5,1
D_PT510,PT,4,seed_s_T_4_900_1,900,1170,T_4_900_1,270,4.5,1
D_PT511,PT,4,seed_s_T_4_900_2,900,1170,T_4_900_2,270,4.5,1
D_PT512,PT,4,seed_s_T_4_900_7,900,1170,T_4_900_7,270,4.5,1
D_PT513,PT,4,seed_s_T_4_915_1,915,1185,T_4_915_1,270,4.5,1
D_PT514,PT,4,seed_s_T_4_915_3,915,1185,T_4_915_3,270,4.5,1
D_PT515,PT,4,seed_s_T_4_915_4,915,1185,T_4_915_4,270,4.5,1
D_PT516,PT,4,seed_s_T_4_915_6,915,1185,T_4_915_6,270,4.5,1
D_PT517,PT,4,seed_s_T_4_930_2,930,1200,T_4_930_2,270,4.5,1
D_PT518,PT,4,seed_s_T_4_945_2,945,1215,T_4_945_2,270,4.5,1
D_PT519,PT,4,seed_s_T_4_945_3,945,1215,T_4_945_3,270,4.5,1
D_PT520,PT,4,seed_s_T_4_945_4,945,1215,T_4_945_4,270,4.5,1
D_PT521,PT,4,seed_s_T_4_945_5,945,1215,T_4_945_5,270,4.5,1
D_PT522,PT,4,seed_s_T_4_945_7,945,1215,T_4_945_7,270,4.5,1
D_PT523,PT,4,seed_s_T_4_945_8,945,1215,T_4_945_8,270,4.5,1
D_PT524,PT,4,seed_s_T_4_945_9,945,1215,T_4_945_9,270,4.5,1
D_PT525,PT,4,seed_s_T_4_945_12,945,1215,T_4_945_12,270,4.5,1
D_PT526,PT,4,seed_s_T_4_945_13,945,1215,T_4_945_13,270,4.5,1
D_PT527,PT,4,seed_s_T_4_945_14,945,1215,T_4_945_14,270,4.5,1
D_PT528,PT,4,seed_s_T_4_945_15,945,1215,T_4_945_15,270,4.5,1
D_PT529,PT,4,seed_s_T_4_960_1,960,1230,T_4_960_1,270,4.5,1
D_PT530,PT,4,seed_s_T_4_960_6,960,1230,T_4_960_6,270,4.5,1
D_PT531,PT,4,seed_s_T_4_960_7,960,1230,T_4_960_7,270,4.5,1
D_PT532,PT,4,seed_s_T_4_975_6,975,1245,T_4_975_6,270,4.5,1
D_PT533,PT,4,seed_s_T_4_990_1,990,1260,T_4_990_1,270,4.5,1
D_PT534,PT,4,seed_s_T_4_1020_3,1020,1290,T_4_1020_3,270,4.5,1
D_PT535,PT,4,seed_s_T_4_1050_4,1050,1320,T_4_1050_4,270,4.5,1
