tour_id,day,start_min,end_min,duration_min
T_1_330_2,1,330,600,270
T_1_330_3,1,330,600,270
T_1_330_4,1,330,600,270
T_1_330_5,1,330,600,270
T_1_330_6,1,330,600,270
T_1_345_1,1,345,615,270
T_1_345_2,1,345,615,270
T_1_345_3,1,345,615,270
T_1_345_4,1,345,615,270
T_1_345_5,1,345,615,270
T_1_345_6,1,345,615,270
T_1_360_1,1,360,630,270
T_1_360_2,1,360,630,270
T_1_360_3,1,360,630,270
T_1_360_4,1,360,630,270
T_1_360_5,1,360,630,270
T_1_360_6,1,360,630,270
T_1_360_7,1,360,630,270
T_1_360_8,1,360,630,270
T_1_375_1,1,375,645,270
T_1_375_2,1,375,645,270
T_1_375_3,1,375,645,270
T_1_375_4,1,375,645,270
T_1_375_5,1,375,645,270
T_1_375_6,1,375,645,270
T_1_375_7,1,375,645,270
T_1_375_8,1,375,645,270
T_1_375_9,1,375,645,270
T_1_375_10,1,375,645,270
T_1_375_11,1,375,645,270
T_1_390_1,1,390,660,270
T_1_405_1,1,405,675,270
T_1_405_2,1,405,675,270
T_1_405_3,1,405,675,270
T_1_405_4,1,405,675,270
T_1_405_5,1,405,675,270
T_1_405_6,1,405,675,270
T_1_405_7,1,405,675,270
T_1_420_1,1,420,690,270
T_1_420_2,1,420,690,270
T_1_420_3,1,420,690,270
T_1_420_4,1,420,690,270
T_1_420_5,1,420,690,270
T_1_420_6,1,420,690,270
T_1_435_1,1,435,705,270
T_1_435_2,1,435,705,270
T_1_435_3,1,435,705,270
T_1_435_4,1,435,705,270
T_1_435_5,1,435,705,270
T_1_435_6,1,435,705,270
T_1_450_1,1,450,720,270
T_1_450_2,1,450,720,270
T_1_450_3,1,450,720,270
T_1_450_4,1,450,720,270
T_1_465_1,1,465,735,270
T_1_465_2,1,465,735,270
T_1_465_3,1,465,735,270
T_1_465_4,1,465,735,270
T_1_465_5,1,465,735,270
T_1_465_6,1,465,735,270
T_1_465_7,1,465,735,270
T_1_465_8,1,465,735,270
T_1_480_1,1,480,750,270
T_1_480_2,1,480,750,270
T_1_480_3,1,480,750,270
T_1_480_4,1,480,750,270
T_1_480_5,1,480,750,270
T_1_480_6,1,480,750,270
T_1_480_7,1,480,750,270
T_1_480_8,1,480,750,270
T_1_495_1,1,495,765,270
T_1_495_2,1,495,765,270
T_1_495_3,1,495,765,270
T_1_495_4,1,495,765,270
T_1_495_5,1,495,765,270
T_1_495_6,1,495,765,270
T_1_495_7,1,495,765,270
T_1_495_8,1,495,765,270
T_1_495_9,1,495,765,270
T_1_510_1,1,510,780,270
T_1_510_2,1,510,780,270
T_1_510_3,1,510,780,270
T_1_510_4,1,510,780,270
T_1_525_1,1,525,795,270
T_1_525_2,1,525,795,270
T_1_525_3,1,525,795,270
T_1_525_4,1,525,795,270
T_1_525_5,1,525,795,270
T_1_540_1,1,540,810,270
